run	success	duration	cost	LI__MIDIM_Vmax	LI__MID1OHEX_Vmax	LI__MIDOH_Vmax	KI__MID1OHEX_Vmax	KI__MID1OHEX_Km	ftissue_mid	ftissue_mid1oh	message	x	x0
0	True	13.355494976043701	0.32032722642914835	0.0022283677907471407	0.00023214777770008495	0.0021623389794805103	82.64522202770242	6.137026444337412e-05	995.6801661914528	838.9020632490542	`ftol` termination condition is satisfied.	"[2.22836779e-03 2.32147778e-04 2.16233898e-03 8.26452220e+01
 6.13702644e-05 9.95680166e+02 8.38902063e+02]"	"[5.59637969e+02 1.44064761e+02 1.39896054e+01 5.61222041e+03
 7.09497263e-02 5.73338226e+02 5.53662811e+02]"
1	True	4.561661720275879	0.37354262892037376	0.0015862032202221368	28.85784130370618	0.002128291777215545	2058.4150464124573	1.2396145566983034e-05	999.9981988103407	999.9967086895857	`ftol` termination condition is satisfied.	"[1.58620322e-03 2.88578413e+01 2.12829178e-03 2.05841505e+03
 1.23961456e-05 9.99998199e+02 9.99996709e+02]"	"[3.13382604e+02 9.48497403e+02 7.72974843e+02 5.28111893e+03
 4.08038046e-02 2.45920989e+02 3.53391546e+02]"
