Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	-0.018	10.0	0.2
0.07	0.174		
0.14	0.106		
0.21	0.065		
0.28	0.036		
0.35	0.024		
0.42	0.015		
0.49	0.01		
0.56	0.0069999999999999		
0.63	0.005		
0.7	0.006		
0.77	0.008		
0.84	0.005		
0.91	0.017		
0.98	0.015		
