Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.014	10.0	0.4
0.07	0.202		
0.14	0.337		
0.21	0.231		
0.28	0.142		
0.35	0.094		
0.42	0.067		
0.49	0.06		
0.56	0.05		
0.63	0.043		
0.7	0.038		
0.77	0.031		
0.84	0.027		
0.91	0.025		
0.98	0.026		
