Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.052	10.0	3.0
0.07	0.238		
0.14	0.178		
0.21	0.095		
0.28	0.062		
0.35	0.035		
0.42	0.026		
0.49	0.019		
0.56	0.016		
0.63	0.018		
0.7	0.008		
0.77	0.005		
0.84	0.01		
0.91	0.011		
0.98	0.0069999999999999		
