Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.005	3.0	0.4
0.07	0.015		
0.14	0.073		
0.21	0.102		
0.28	0.102		
0.35	0.09		
0.42	0.084		
0.49	0.071		
0.56	0.06		
0.63	0.056		
0.7	0.051		
0.77	0.052		
0.84	0.049		
0.91	0.051		
0.98	0.042		
