study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	cv	sd	se	unit	comments
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	4.0	hr	NA	2.25	NA	41.0	0.9225	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	8.0	hr	NA	1.025	NA	32.0	0.32799999999999996	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	12.0	hr	NA	0.7500000000000004	NA	30.0	0.22500000000000014	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	24.0	hr	NA	0.2916666666666667	NA	28.0	0.08166666666666668	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	36.0	hr	NA	0.13333333333333316	NA	27.0	0.035999999999999956	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25	48.0	hr	NA	0.08333333333333333	NA	27.0	0.0225	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	4.0	hr	NA	2.25	NA	25.0	0.92	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	8.0	hr	NA	1.03	NA	23.0	0.33	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	12.0	hr	NA	0.75	NA	20.0	0.23	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	24.0	hr	NA	0.29	NA	22.0	0.08	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	36.0	hr	NA	0.13	NA	21.0	0.04	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
Weir1998	NA	all	20.0	HCTZ25,DIL60	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz25_kombi	48.0	hr	NA	0.08	NA	21.0	0.02	NA	mg/hr	processed data to reflect excretion rate; data not correct per hour in table; estimation of error
