study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	comments
Patel1984	NA	all	12.0	HCTZ50_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_tab	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ50_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ50_tab	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_tab	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ100_tab	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_tab	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ25_sus	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ25_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ25_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ25_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ25_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ25_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ50_sus	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ50_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ50_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ50_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ50_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_sus	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ100_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
Patel1984	NA	all	12.0	HCTZ100_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_sus	0.0	hr	NA	0.0	NA	NA	NA	mmol	0.0	NA
