"time"	"PX"	"PY"	"PZ"	"X"	"Y"	"Z"	"cell"	"eff"	"KM"	"n"	"ps0"	"psa"	"taumRNA"	"tauprot"	"Reaction1"	"Reaction10"	"Reaction11"	"Reaction12"	"Reaction2"	"Reaction3"	"Reaction4"	"Reaction5"	"Reaction6"	"Reaction7"	"Reaction8"	"Reaction9"	"a0tr"	"alpha"	"alpha0"	"atr"	"beta"	"kdmRNA"	"kdprot"	"ktl"	"tave"	"[PX]"	"[PY]"	"[PZ]"	"[X]"	"[Y]"	"[Z]"
0	0.	0.	0.	20.	20.	0.	1.	20.	40.	2.	0.0005	0.5	2.	10.	6.931471805599453	30.	30.	30.	6.931471805599453	0.	138.62943611198907	138.62943611198907	0.	0.	0.	0.	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	0.	0.	0.	20.	20.	0.
2	401.6036350971321	269.45066130025344	89.4159899088089	30.747391039467168	15.78219376909071	6.495419465521862	1.	20.	40.	2.	0.0005	0.5	2.	10.	10.656233704290397	5.027488722640952	0.3243908817500396	0.6762215034528782	5.469691557047981	2.2511408445403327	213.12467408580792	109.39383114095962	45.02281689080665	27.83704273702022	18.676896618028344	6.19784413022674	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	401.6036350971321	269.45066130025344	89.4159899088089	30.747391039467168	15.78219376909071	6.495419465521862
4	671.8007810137027	383.1095622258492	143.34077555599455	19.712487247589912	8.160872708973724	3.888073664495841	1.	20.	40.	2.	0.0005	0.5	2.	10.	6.831827478745412	2.195210360554178	0.1358738692455394	0.35318562317744406	2.8283429545668697	1.3475036491773333	136.63654957490823	56.5668590913374	26.95007298354667	46.56568172576172	26.555131290240226	9.935625443591354	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	671.8007810137027	383.1095622258492	143.34077555599455	19.712487247589912	8.160872708973724	3.888073664495841
6	788.2425045883137	410.4110871673505	164.3114102089668	12.546776245115703	4.248351070078703	2.4094848861059317	1.	20.	40.	2.	0.0005	0.5	2.	10.	4.3483812897092236	1.7067465689039059	0.10697861553412086	0.312008777767225	1.47236628312694	0.8350638277030638	86.96762579418447	29.4473256625388	16.701276554061273	54.63680696528994	28.447528794059092	11.389199072017394	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	788.2425045883137	410.4110871673505	164.3114102089668	12.546776245115703	4.248351070078703	2.4094848861059317
8	820.0626495419324	397.74299449403463	168.7101444580654	8.645766115988131	2.2724876219071493	1.6649609587459755	1.	20.	40.	2.	0.0005	0.5	2.	10.	2.996394203538941	1.625044407088654	0.1011345563547635	0.3300760521782683	0.7875841939911578	0.5770314971485782	59.92788407077882	15.751683879823155	11.540629942971563	56.842411341250894	27.569443522100993	11.69409609629691	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	820.0626495419324	397.74299449403463	168.7101444580654	8.645766115988131	2.2724876219071493	1.6649609587459755
10	811.3790102516543	368.382977535681	165.96190158361304	6.698924123813676	1.2828443220562236	1.344996890699059	1.	20.	40.	2.	0.0005	0.5	2.	10.	2.3216701846032257	1.6753837815611372	0.10266160262716313	0.37923451025858723	0.4445999624653029	0.4661404013249728	46.43340369206451	8.891999249306059	9.322808026499457	56.24050733214531	25.534362224513494	11.50360241630485	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	811.3790102516543	368.382977535681	165.96190158361304	6.698924123813676	1.2828443220562236	1.344996890699059
12	786.5359048225105	333.6861589081639	161.22739656275502	5.839387074406841	0.7930363349692925	1.2770696919607634	1.	20.	40.	2.	0.0005	0.5	2.	10.	2.023777343411645	1.7677518625231374	0.1073121666118147	0.4545551664195868	0.2748454498327787	0.4425986281805805	40.4755468682329	5.496908996655574	8.85197256361161	54.51851448368886	23.129362023907166	11.175431535649386	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	786.5359048225105	333.6861589081639	161.22739656275502	5.839387074406841	0.7930363349692925	1.2770696919607634
14	757.9262333220031	298.9988026119288	157.37689266100557	5.539160327655933	0.5560254687255263	1.3732555640715962	1.	20.	40.	2.	0.0005	0.5	2.	10.	1.9197266818921064	1.8486033880919346	0.11324245974225229	0.5569434106304926	0.19270374298331028	0.4759341112122421	38.39453363784213	3.854074859666206	9.518682224244843	52.535443169956565	20.725017702125804	10.908534943326115	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	757.9262333220031	298.9988026119288	157.37689266100557	5.539160327655933	0.5560254687255263	1.3732555640715962
16	730.9298076280031	266.67087184316205	156.11409222395756	5.4672743913305	0.44640428674154686	1.5928517426325723	1.	20.	40.	2.	0.0005	0.5	2.	10.	1.8948129148491637	1.8763237506664865	0.11948632971041712	0.6894662112933237	0.15471193637238828	0.5520403472278815	37.89625829698327	3.094238727447766	11.040806944557632	50.664193534457354	18.484216295555026	10.821004287071146	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	730.9298076280031	266.67087184316205	156.11409222395756	5.4672743913305	0.44640428674154686	1.5928517426325723
18	706.7666543411694	237.57850722099062	158.58198756265975	5.408167814838059	0.4005758901849716	1.9207877523305064	1.	20.	40.	2.	0.0005	0.5	2.	10.	1.8743281364250204	1.8227156271440923	0.12568982632479492	0.8561383461433955	0.13882902444100165	0.6656943074909825	37.48656272850041	2.7765804888200334	13.31388614981965	48.9893313770367	16.467687244187022	10.99206575666499	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	706.7666543411694	237.57850722099062	158.58198756265975	5.408167814838059	0.4005758901849716	1.9207877523305064
