"time"	"PX"	"PY"	"PZ"	"X"	"Y"	"Z"	"cell"	"eff"	"KM"	"n"	"ps0"	"psa"	"taumRNA"	"tauprot"	"Reaction1"	"Reaction10"	"Reaction11"	"Reaction12"	"Reaction2"	"Reaction3"	"Reaction4"	"Reaction5"	"Reaction6"	"Reaction7"	"Reaction8"	"Reaction9"	"a0tr"	"alpha"	"alpha0"	"atr"	"beta"	"kdmRNA"	"kdprot"	"ktl"	"tave"	"[PX]"	"[PY]"	"[PZ]"	"[X]"	"[Y]"	"[Z]"
0	0.	0.	0.	0.	20.	0.	1.	20.	40.	5.	0.0005	0.5	2.	10.	0.	30.000000000000004	30.000000000000004	30.000000000000004	6.931471805599453	0.	0.	138.62943611198907	0.	0.	0.	0.	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	0.	0.	0.	0.	20.	0.
1	87.60383375064929	190.94084234215453	39.67755790056197	22.39999832254886	29.975768027858138	5.994305020111988	1.	20.	40.	5.	0.0005	0.5	2.	10.	7.763247840911124	15.318169552795107	0.6132252514743483	0.042086967146081324	10.388809546814409	2.0774678120534755	155.26495681822246	207.7761909362882	41.54935624106951	6.072235037050473	13.235010652320542	2.7502387390278513	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	87.60383375064929	190.94084234215453	39.67755790056197	22.39999832254886	29.975768027858138	5.994305020111988
2	231.14926998949247	347.95690077356204	70.98097652279864	20.353562537045697	21.28462880774939	4.266315592066954	1.	20.	40.	5.	0.0005	0.5	2.	10.	7.054007243451876	1.6416511694734794	0.034650039903912334	0.030601659406645	7.3766902236782395	1.4785923120100715	141.08014486903753	147.5338044735648	29.57184624020143	16.022046478170626	24.118534472757116	4.920026375016954	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	231.14926998949247	347.95690077356204	70.98097652279864	20.353562537045697	21.28462880774939	4.266315592066954
3	333.883389254893	444.9722201544054	90.41632184922129	15.1421262607934	15.0773775017297	3.042355716155631	1.	20.	40.	5.	0.0005	0.5	2.	10.	5.247861062675826	0.5294070299752793	0.030739608536149737	0.03017592179891036	5.225420852780947	1.0544001434568544	104.95722125351652	104.50841705561893	21.08800286913709	23.143032989782782	30.843123982752537	6.267181856638832	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	333.883389254893	444.9722201544054	90.41632184922129	15.1421262607934	15.0773775017297	3.042355716155631
4	398.34795871824144	500.42549987761686	101.6362960960402	11.037202817091147	10.687054225873945	2.176730369019237	1.	20.	40.	5.	0.0005	0.5	2.	10.	3.825203006967507	0.31032462941599726	0.030305963264310037	0.030097788576504678	3.7038507525778868	0.7543972590624467	76.50406013935014	74.07701505155774	15.087945181248935	27.611376446735854	34.68685243204713	7.044891208152603	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	398.34795871824144	500.42549987761686	101.6362960960402	11.037202817091147	10.687054225873945	2.176730369019237
5	434.8629116222752	527.3671857331237	107.21555773972914	8.032408690229127	7.582443158225484	1.5646048618540014	1.	20.	40.	5.	0.0005	0.5	2.	10.	2.7838207183687613	0.24506508770252378	0.030197343121371883	0.030075235029045726	2.6278745484400208	0.5422507243422419	55.67641436737523	52.557490968800415	10.845014486844837	30.14240011210687	36.55430779107477	7.431616155945527	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	434.8629116222752	527.3671857331237	107.21555773972914	8.032408690229127	7.582443158225484	1.5646048618540014
6	451.8257975635039	534.9691136981959	108.96376695847275	5.877295577983533	5.387098923995476	1.1317565266347787	1.	20.	40.	5.	0.0005	0.5	2.	10.	2.03691542959836	0.22846804685975672	0.030162978087977393	0.030070039355378532	1.8670262152824895	0.3922369227586067	40.738308591967204	37.340524305649794	7.844738455172135	31.31817776853913	37.081233284655724	7.5527927850456305	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	451.8257975635039	534.9691136981959	108.96376695847275	5.877295577983533	5.387098923995476	1.1317565266347787
7	455.458360295942	529.6622489647273	108.15010371629883	4.350967723622454	3.834741045958697	0.8256863384635944	1.	20.	40.	5.	0.0005	0.5	2.	10.	1.5079305051681138	0.23599497410250436	0.030156581712686165	0.03007361910471074	1.3290199720918832	0.2861610787664526	30.158610103362275	26.580399441837663	5.723221575329052	31.56996783015879	36.71338945189405	7.4963939468218195	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	455.458360295942	529.6622489647273	108.15010371629883	4.350967723622454	3.834741045958697	0.8256863384635944
8	450.2686264415276	515.9428093640697	105.66221515067394	3.2861308457005745	2.7370602744904726	0.6092681108588281	1.	20.	40.	5.	0.0005	0.5	2.	10.	1.1388861653242108	0.26121955196951024	0.030165815780413007	0.030083941681102542	0.9485928061428505	0.21115623662344046	22.77772330648422	18.971856122857012	4.2231247324688095	31.210242891254406	35.762430364088225	7.323946652340798	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	450.2686264415276	515.9428093640697	105.66221515067394	3.2861308457005745	2.7370602744904726	0.6092681108588281
9	439.50616441882215	496.94228912973676	102.11860758244427	2.562158346505647	1.9608960699873537	0.4562490974217041	1.	20.	40.	5.	0.0005	0.5	2.	10.	0.8879764170142603	0.30382684422559325	0.030187136772015812	0.03010126408693111	0.6795947911414056	0.158123887755437	17.759528340285208	13.591895822828114	3.16247775510874	30.46424587056223	34.44541466112822	7.078322492847869	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	439.50616441882215	496.94228912973676	102.11860758244427	2.562158346505647	1.9608960699873537	0.4562490974217041
