Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	-0.01	10.0	0.1
0.07	0.113		
0.14	0.065		
0.21	0.037		
0.28	0.022		
0.35	0.017		
0.42	0.008		
0.49	0.008		
0.56	0.011		
0.63	0.005		
0.7	0.01		
0.77	0.006		
0.84	0.009		
0.91	0.006		
0.98	0.008		
