Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.008	10.0	0.4
0.07	0.327		
0.14	0.297		
0.21	0.189		
0.28	0.121		
0.35	0.084		
0.42	0.057		
0.49	0.047		
0.56	0.04		
0.63	0.039		
0.7	0.036		
0.77	0.03		
0.84	0.024		
0.91	0.024		
0.98	0.026		
