Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.014	10.0	10.0
0.07	0.185		
0.14	0.176		
0.21	0.141		
0.28	0.087		
0.35	0.049		
0.42	0.036		
0.49	0.025		
0.56	0.018		
0.63	0.012		
0.7	0.014		
0.77	0.009		
0.84	0.01		
0.91	0.014		
0.98	0.013		
