Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.0	5.0	0.4
0.07	0.129		
0.14	0.263		
0.21	0.187		
0.28	0.119		
0.35	0.084		
0.42	0.066		
0.49	0.058		
0.56	0.047		
0.63	0.047		
0.7	0.047		
0.77	0.037		
0.84	0.033		
0.91	0.027		
0.98	0.028		
