Time	Values[open_probability]	Values[IP3].InitialValue	Values[Ca].InitialValue
0.0	0.012	10.0	1.0
0.07	0.253		
0.14	0.214		
0.21	0.109		
0.28	0.047		
0.35	0.022		
0.42	0.016		
0.49	0.013		
0.56	0.012		
0.63	0.012		
0.7	0.012		
0.77	0.012		
0.84	0.012		
0.91	0.004		
0.98	0.005		
